Bitcoin	Dash	Ethereum	Ethereum_Classic	Litecoin	Monero	Nem	Neo	Ripple	Strstis	F1
0	0	0	0	0	0	0	0	0	0	
4380.656756	329.0311668	313.0909852	16.10674522	70.77490479	117.9708079	0.283408876	23.48641582	6.015384632	5.017794495	0
4429.547249	336.0423682	306.8815657	16.49988689	74.97427994	115.7927095	0.275588878	24.63028464	5.993652034	4.48282223	1
4410.344151	361.3461939	318.5858447	16.41760358	70.03660172	117.5554738	0.274737839	26.91487283	6.015957284	4.408572345	2
4373.446477	352.7479802	329.2379729	16.81771836	66.85577327	119.1222717	0.272222402	29.62603957	5.946179402	4.360672224	3
4344.928996	337.1153322	277.0084004	16.68690786	64.11345881	113.101555	0.270156525	30.0210346	6.020453256	4.562146127	4
4266.759756	343.9548984	270.2899122	16.73527892	66.00708228	111.7465721	0.262076155	28.59720394	6.014491671	5.101511052	5
4225.957219	345.3783056	257.1333673	17.07371887	60.44938248	107.4966445	0.250985841	24.87675518	5.871960372	4.177227839	6
4013.518692	323.2794557	253.9916347	17.16447299	58.13503879	105.6219165	0.228431233	23.50040416	5.895872802	3.671714784	7
3942.382941	307.3391272	252.4335621	17.18458684	58.2980209	101.0326732	0.231832214	21.04082352	5.881180626	3.498216599	8
3987.431123	331.6990174	278.828625	17.76645165	61.94630456	101.9238527	0.254402443	23.71930935	6.005968362	3.412211317	9
3982.705823	332.4460967	249.4811052	17.54544521	59.95936078	99.92423526	0.268309423	22.80511861	6.108588284	3.088205178	10
3853.773118	306.2076715	241.6469617	17.54723857	62.15140414	97.25046584	0.274315169	24.29337946	6.089572495	3.212825862	11
3613.357145	275.5396686	216.94747	16.69532478	64.58599716	92.31594104	0.272625187	23.62112694	6.01361711	2.809997033	12
3411.478511	268.1350275	228.3904911	16.75326505	72.75259692	89.46060735	0.273146323	25.72502081	6.064564329	2.229802054	13
3665.885865	287.1019918	234.8860167	17.01510436	75.21782738	89.12466624	0.297855615	23.64918344	6.244811779	2.972173667	14
3917.016544	279.7048352	280.3925958	16.54723554	73.38969165	94.65507498	0.288581554	21.56584694	6.273623854	2.639165157	15
3841.53854	291.4227528	250.7587807	16.20926673	68.23440832	93.17511225	0.269682599	19.92747305	6.270496237	2.495154572	16
4321.829729	339.9196179	292.3690177	16.08422456	70.64078075	98.32824132	0.267991616	21.40871978	6.264731795	3.108610915	17
4454.226527	337.8541864	293.0645935	16.44071143	73.29516846	97.11362475	0.24611374	21.96146971	6.263251537	3.322855535	18
4486.338763	354.3154238	291.3456873	16.41970366	70.98439461	106.8628568	0.264354672	23.18855491	6.39915998	3.916030798	19
4445.806726	337.1624608	256.3248486	15.77355687	66.13747573	100.899749	0.246207703	23.10422272	6.299722499	4.255906258	20
4306.475945	332.8610151	265.1782127	15.24943338	63.60167992	99.83074141	0.229058189	23.58778144	6.163589126	4.060172492	21
4144.915364	327.1702709	274.7289582	15.08523013	63.25153059	92.9615598	0.243932754	22.44931826	6.038475448	3.791630263	22
3996.154996	327.5109687	297.061721	15.01626855	63.07152522	96.28491512	0.239810832	21.75665724	6.040089762	3.892228622	23
4028.340653	348.909673	279.9392764	14.63414543	63.33904713	98.0972636	0.272413591	21.012546	6.119670314	3.803054534	24
4199.016366	371.9003012	269.7491687	14.80241484	62.05339426	98.42462766	0.262531067	20.16467482	6.040785581	4.027701653	25
4280.889043	349.589977	256.8660908	14.9952442	64.83307564	100.6635889	0.27697328	20.79460776	5.957504386	4.428390931	26
4428.965674	318.0969515	276.3938519	14.42261424	64.98676175	98.35230526	0.304044849	21.53598549	5.85660392	5.031853586	27
4619.791477	330.0766879	279.868945	14.44945528	69.59008884	97.10106048	0.330855045	21.79108171	5.755804092	5.4423546	28
4685.805115	342.0065281	294.1023341	14.17340862	72.06549114	99.9403348	0.38009223	21.79679585	5.745989782	5.359770534	29
4536.058629	324.3794729	277.6111869	13.9836907	76.43868542	100.9456674	0.391071068	22.02178198	5.621809244	5.243209684	30
4696.311632	349.3597527	285.8301584	14.25461287	74.96188527	107.0210702	0.408985882	24.79110917	5.535312563	5.250832058	31
4606.914219	356.2116369	304.9234296	14.28640431	76.62286484	107.4999186	0.415129865	26.552109	5.588197035	5.399631727	32
4826.354595	356.6138084	340.9441435	14.45266482	76.93897873	114.0827935	0.433012307	30.59239882	5.561342114	5.665172391	33
4919.468003	347.60972	333.4246684	13.93994535	76.07701725	113.4643521	0.43113888	31.82767075	5.476174736	5.965357771	34
5015.688783	331.550849	331.9802783	13.9789738	72.13631702	115.6107335	0.425700653	35.42306241	5.351220274	6.128083874	35
5046.701629	340.2403572	348.184666	13.89728044	72.920385	114.9873608	0.404400826	36.10534498	5.239713925	6.07289999	36
5025.010895	349.4729548	351.1165738	14.12731449	72.13280261	114.5964824	0.392804562	39.26717773	5.175646788	6.000867598	37
5046.712255	349.0397151	356.7322175	14.31478173	71.71222651	112.3217567	0.412109826	45.4926731	5.263255727	6.017558672	38
5152.167235	363.1452652	353.8405482	13.79615438	70.26212257	115.9485125	0.416414408	43.54881793	5.147417504	5.904037584	39
5280.028324	362.0204169	344.2146737	13.79877258	68.62877601	115.0222113	0.407851889	45.46344706	4.98514418	5.808733387	40
5457.742597	351.2247806	340.8740184	13.63465913	68.70855975	115.9578328	0.38111527	49.27364594	4.98643443	5.976361616	41
5706.590207	337.6298482	347.2039815	13.26441117	71.23083562	116.8628219	0.367560993	50.91600728	4.999225402	5.952203536	42
5771.655161	362.265883	343.7769682	13.03290706	68.65062743	119.2989448	0.358818467	51.21538305	5.09961555	6.018944089	43
5845.816168	389.7008629	347.3900416	12.93869056	69.774041	118.6091854	0.358061108	50.98784298	5.110435098	6.302104945	44
5984.760519	404.0523469	343.2188224	12.69024484	70.2690239	118.6038222	0.349676985	54.28732449	4.964845651	6.257791216	45
5840.785347	402.8042393	340.5773541	12.51471079	73.00535721	120.7738557	0.348437302	60.13118082	4.98135792	5.994695163	46
5805.253216	456.2794433	346.7235957	12.47975679	70.4418785	129.4295241	0.351115341	61.84702933	4.935257024	5.928990059	47
5761.519133	479.3456955	339.7104723	12.44629772	71.20397311	131.2856416	0.347851421	66.08321124	4.924092007	5.810078542	48
5800.64312	459.8807824	352.1324411	12.66467353	71.99979276	152.8674548	0.333038708	70.31176817	5.053114736	5.350594985	49
5909.675465	463.445401	352.9965371	12.6453251	70.50065893	165.8414664	0.318302836	72.38213545	5.337401533	5.370610235	50
6012.302268	470.2160089	349.0452196	12.81088926	72.12406093	165.9745613	0.301478069	74.38593453	5.458992559	5.208378628	51
6227.43203	486.7238292	363.2243039	13.09543437	69.59630281	162.2221828	0.275882406	74.6630677	5.352442932	4.942200487	52
6395.693287	487.1889946	361.3022449	13.37495722	68.77729029	169.2759718	0.251455547	74.2352398	5.338054544	5.010885476	53
6449.754198	544.0357811	359.98311	13.34977968	68.81910843	189.8213581	0.230988963	74.82536566	5.253015965	5.00145442	54
6443.138536	535.1458304	362.2816225	13.61116442	71.96276397	189.7425377	0.223524671	76.02239603	5.176454884	4.797329435	55
6419.746067	517.485446	361.9929026	13.6520332	70.51492167	194.0847138	0.225599621	76.27122098	5.3489905	4.801776294	56
6399.006915	511.0189712	374.00719	13.61692722	70.70688933	190.8569514	0.234997015	74.97929579	5.449343473	4.947449483	57
6311.041221	531.2673333	372.3446522	13.52749256	71.60592949	197.2291161	0.231164793	74.24599582	5.53885662	5.093956296	58
6326.669369	528.3694142	369.6868477	13.64667246	75.43060988	211.6593278	0.235836807	75.60124767	5.642300785	5.134371862	59
